match_id,period,game_clock,match_min,team,opponent,passer,passer_pos,receiver,linesBrokenType,broke_D,broke_M,broke_A,completed,passType,ballHeight,start_x,start_y,end_x,end_y,length,depth_behind,line_x,iso_dist,n_line,near1_x,near1_y,near2_x,near2_y,side,run_x,run_y,run_mag,channel_type,attack_dir
3814,1,2324,38:44,Ecuador,Qatar,Michael Estrada,CF,Enner Valencia,M,False,True,False,False,T,G,10.71,11.57,35.5,21.46,26.69,23.01,12.49,20.52,6,18.11,10.57,12.49,16.18,Right,19.84,-9.92,22.18,Type2_halfspace,-1.0
3814,1,2514,41:54,Qatar,Ecuador,Abdulaziz Hatem,CM,Homam Ahmed,,False,False,False,False,S,G,19.99,22.27,30.49,26.07,11.17,6.05,24.44,6.67,5,24.44,23.27,28.4,14.8,Right,7.32,-0.64,7.35,Type1_wide,1.0
3814,1,2836,47:16,Qatar,Ecuador,Bassam Al-Rawi,RCB,Homam Ahmed,,False,False,False,True,S,G,4.28,-14.96,36.2,25.41,51.47,18.3,17.91,16.39,6,26.82,11.97,17.91,15.34,Right,12.66,-5.27,13.72,Type2_halfspace,1.0
3814,1,2987,49:47,Qatar,Ecuador,Pedro Miguel,RWB,Hasan Al-Haydos,,False,False,False,True,S,G,23.31,-21.42,39.41,-30.66,18.57,9.04,30.38,12.91,7,30.38,-21.45,30.21,-14.4,Left,10.37,-0.24,10.37,Type1_wide,1.0
3814,2,3014,50:14,Ecuador,Qatar,Michael Estrada,CF,Romario Ibarra,D,True,False,False,True,S,V,13.91,32.4,29.16,27.76,15.94,15.04,14.13,13.59,5,17.75,20.37,15.48,31.4,Right,11.62,-6.16,13.15,Type1_wide,1.0
3814,2,3069,51:09,Ecuador,Qatar,Romario Ibarra,LM,Pervis Estupinan,,False,False,False,True,S,G,8.21,23.88,17.86,26.07,9.9,2.86,15.0,8.69,5,15.0,17.87,8.07,16.59,Right,10.45,-0.1,10.45,Type1_wide,1.0
3814,2,3072,51:12,Ecuador,Qatar,Pervis Estupinan,LB,Romario Ibarra,,False,False,False,False,T,G,32.16,23.52,46.87,13.97,17.54,18.43,28.44,13.15,6,36.04,6.51,32.39,22.78,Right,18.54,-2.55,18.71,Type1_wide,1.0
3814,2,3281,54:41,Ecuador,Qatar,Jhegson Méndez,CM,Romario Ibarra,AM,False,True,True,True,T,G,4.68,-8.11,19.12,17.34,29.26,5.68,13.45,12.57,3,13.45,6.12,22.1,-4.18,Right,12.88,-0.25,12.89,Type2_halfspace,1.0
3814,2,3572,59:32,Qatar,Ecuador,Abdulaziz Hatem,CM,Homam Ahmed,,False,False,False,False,S,G,7.8,27.98,21.88,32.57,14.81,6.43,15.45,9.74,5,15.45,25.26,16.39,16.4,Right,6.62,-1.31,6.75,Type1_wide,-1.0
3814,2,3680,61:20,Qatar,Ecuador,Abdelkarim Hassan,LCB,Pedro Miguel,,False,False,False,True,C,G,17.24,27.45,40.17,-8.62,42.74,7.87,32.3,6.87,6,33.41,-7.39,34.89,4.26,Left,9.4,11.27,14.67,Type1_wide,-1.0
3814,2,4109,68:29,Ecuador,Qatar,Michael Estrada,CF,Angelo Preciado,,False,False,False,True,S,G,9.54,-22.29,21.45,-30.86,14.67,4.25,17.2,10.68,6,17.2,-21.05,9.51,-19.57,Left,5.82,-0.37,5.83,Type1_wide,1.0
3814,2,4112,68:32,Ecuador,Qatar,Angelo Preciado,RB,Gonzalo Plata,,False,False,False,True,T,G,25.41,-31.45,38.75,-25.17,14.75,14.65,24.1,11.25,5,28.46,-20.62,27.72,-28.87,Left,13.7,0.43,13.7,Type1_wide,1.0
3814,2,4115,68:35,Ecuador,Qatar,Gonzalo Plata,RM,Michael Estrada,,False,False,False,True,S,G,51.34,-20.83,48.09,-25.07,5.35,5.76,42.32,4.44,4,48.68,-20.68,39.51,-27.02,Left,1.82,-0.44,1.87,Type1_wide,1.0
3814,2,4365,72:45,Ecuador,Qatar,Pervis Estupinan,LB,Moises Caicedo,,False,False,False,True,S,G,31.5,24.65,39.03,28.8,8.6,7.51,31.52,9.45,5,31.52,23.06,37.33,18.51,Right,1.63,-0.21,1.64,Type1_wide,1.0
3814,2,4463,74:23,Qatar,Ecuador,Abdulaziz Hatem,CM,Pedro Miguel,,False,False,False,True,S,G,25.83,-26.75,34.91,-30.82,9.95,10.76,24.15,7.35,5,30.93,-24.65,24.15,-26.08,Left,3.13,-1.71,3.56,Type1_wide,-1.0
3814,2,4710,78:30,Ecuador,Qatar,Jeremy Sarmiento,AM,Pervis Estupinan,,False,False,False,True,S,H,27.48,24.25,46.01,20.99,18.82,22.1,23.91,21.64,5,24.57,23.93,19.18,25.36,Right,19.31,-6.11,20.25,Type1_wide,1.0
3814,2,4793,79:53,Ecuador,Qatar,Moises Caicedo,CM,Gonzalo Plata,M,False,True,False,True,S,G,2.5,-23.91,21.78,-27.71,19.65,15.04,6.74,15.85,4,13.07,-14.46,5.33,-30.66,Left,9.42,-3.92,10.21,Type1_wide,1.0
3814,2,5250,87:30,Ecuador,Qatar,Jeremy Sarmiento,AM,Gonzalo Plata,,False,False,False,True,S,G,32.53,-28.78,37.67,-32.51,6.35,9.38,28.29,7.0,5,34.86,-26.1,28.29,-29.81,Left,4.41,0.31,4.43,Type1_wide,1.0
3814,2,5430,90:30,Qatar,Ecuador,Bassam Al-Rawi,RCB,Homam Ahmed,,False,False,False,True,S,G,5.56,-12.93,32.8,31.57,52.18,12.76,20.05,34.15,3,20.05,-0.12,16.66,-9.79,Right,10.07,1.15,10.14,Type2_halfspace,-1.0
3814,2,5461,91:01,Qatar,Ecuador,Akram Afif,CF,Abdulaziz Hatem,,False,False,False,True,S,G,19.82,-25.7,27.64,-29.2,8.57,4.16,23.48,9.86,6,30.39,-19.72,23.48,-19.77,Left,2.48,-8.7,9.05,Type1_wide,-1.0
3814,2,5600,93:20,Qatar,Ecuador,Mohammed Waad,DM,Homam Ahmed,M,False,True,False,False,T,G,17.23,13.21,31.92,23.02,17.66,9.76,22.16,11.55,5,22.16,16.83,30.01,7.93,Right,12.65,-1.26,12.71,Type2_halfspace,-1.0
3812,1,131,02:11,Senegal,Netherlands,Nampalys Mendy,CM,Boulaye Dia,,False,False,False,False,O,G,34.5,26.16,46.11,9.11,20.62,9.0,37.11,7.41,7,39.38,12.21,39.98,0.92,Right,7.49,6.55,9.95,Type1_wide,-1.0
3812,1,334,05:34,Senegal,Netherlands,Boulaye Dia,CF,Cheikhou Kouyaté,,False,False,False,True,S,A,11.74,-18.06,27.95,-21.69,16.61,16.75,11.2,18.73,4,11.2,-13.3,16.0,-3.24,Left,24.84,3.25,25.05,Type2_halfspace,-1.0
3812,1,745,12:25,Senegal,Netherlands,Youssouf Sabaly,RB,Krépin Diatta,,False,False,False,True,S,G,31.36,-29.44,39.46,-31.52,8.36,5.89,33.57,7.76,7,33.57,-26.47,37.2,-21.53,Left,0.76,-2.17,2.3,Type1_wide,-1.0
3812,1,818,13:38,Senegal,Netherlands,Ismaïla Sarr,LW,Youssouf Sabaly,,False,False,False,False,S,G,32.61,24.25,51.31,20.27,19.12,21.69,29.62,18.26,7,33.09,21.52,34.09,12.26,Right,17.18,4.93,17.88,Type1_wide,-1.0
